Sleep_Hours,Sleep_Quality_Score,Caffeine_Intake_mg,Screen_Time_Before_Bed,Morning_Mood,Work_Productivity_Score,Error_Rate,Energy_Level
7.8,7,365.0,228.0,Neutral,67,1.97,9
7.1,8,358.0,93.0,Good,87,2.18,10
8.5,8,79.0,83.0,Good,82,3.83,10
5.9,8,177.0,62.0,Neutral,85,2.47,10
6.5,7,214.0,26.0,Good,70,7.7,9
6.4,8,101.0,11.0,Excellent,81,2.86,10
4.8,5,554.0,15.0,Bad,47,15.12,5
7.4,9,222.0,0.0,Good,82,8.14,10
7.4,8,112.0,67.0,Neutral,71,5.5,8
7.0,9,36.0,100.0,Good,90,3.98,10
6.6,8,38.0,19.0,Excellent,72,7.33,8
4.9,5,522.0,6.0,Bad,55,13.51,7
6.4,7,176.0,25.0,Good,63,5.62,8
6.5,8,18.0,21.0,Neutral,77,9.08,9
5.8,7,75.0,36.0,Good,75,10.99,8
6.8,8,382.0,18.0,Good,71,6.72,8
7.6,9,267.0,25.0,Excellent,82,5.18,10
9.8,6,51.0,143.0,Neutral,56,8.05,8
7.3,9,144.0,24.0,Excellent,88,5.95,10
7.4,8,67.0,92.0,Good,79,3.82,9
6.9,8,145.0,59.0,Good,72,8.09,8
4.1,7,288.0,25.0,Neutral,74,2.88,9
7.0,7,42.0,102.0,Good,59,8.07,8
7.1,8,97.0,54.0,Good,79,3.14,9
10.0,8,71.0,1.0,Good,79,1.95,8
6.7,9,38.0,4.0,Excellent,72,0.93,9
7.5,7,537.0,84.0,Neutral,72,4.53,8
6.9,9,94.0,35.0,Excellent,84,4.24,10
5.2,7,37.0,31.0,Good,67,4.13,6
8.7,8,186.0,9.0,Good,69,6.88,8
8.1,10,163.0,10.0,Excellent,93,0.85,10
8.2,10,340.0,96.0,Excellent,94,0.43,10
5.6,6,153.0,106.0,Bad,62,9.09,7
9.1,9,89.0,49.0,Excellent,88,3.21,10
4.9,6,224.0,21.0,Neutral,57,7.63,8
7.9,8,230.0,162.0,Neutral,77,5.71,10
10.0,7,133.0,59.0,Good,76,8.38,9
5.5,5,442.0,96.0,Neutral,58,13.88,7
6.2,7,96.0,0.0,Good,73,5.6,9
7.1,9,204.0,36.0,Excellent,88,0.01,10
6.2,6,18.0,123.0,Good,69,11.62,6
4.7,7,335.0,25.0,Neutral,72,8.01,9
7.1,8,45.0,78.0,Good,80,3.66,9
5.4,6,190.0,64.0,Neutral,60,11.88,7
7.7,10,145.0,10.0,Good,88,5.38,10
5.6,6,186.0,89.0,Good,72,8.99,8
9.3,8,160.0,7.0,Good,81,3.42,9
5.8,6,188.0,78.0,Neutral,56,14.3,8
6.5,6,179.0,240.0,Bad,53,14.58,6
8.2,7,118.0,190.0,Neutral,67,7.94,8
5.2,6,107.0,97.0,Neutral,66,6.02,8
7.3,9,353.0,46.0,Excellent,82,2.94,10
9.0,8,158.0,67.0,Good,74,8.9,9
4.6,5,337.0,78.0,Bad,41,16.47,6
7.3,9,204.0,1.0,Good,89,1.09,10
7.4,9,41.0,6.0,Good,75,2.73,9
8.2,9,76.0,55.0,Excellent,80,3.56,9
5.1,6,179.0,0.0,Neutral,65,10.14,7
5.0,4,317.0,144.0,Very Bad,58,10.2,8
7.8,8,287.0,40.0,Good,74,6.26,10
7.4,10,189.0,18.0,Excellent,95,0.0,10
7.4,9,123.0,30.0,Good,73,4.57,9
7.5,9,140.0,114.0,Good,89,5.27,10
6.0,6,73.0,157.0,Neutral,56,10.34,6
7.3,10,151.0,7.0,Excellent,97,0.0,10
7.4,8,37.0,90.0,Good,64,8.97,8
5.9,7,126.0,52.0,Neutral,76,7.43,9
9.8,5,600.0,53.0,Neutral,51,10.1,6
7.7,9,86.0,91.0,Excellent,85,5.1,10
5.2,7,57.0,15.0,Good,59,12.11,7
8.0,10,41.0,45.0,Excellent,86,4.49,10
5.5,7,97.0,23.0,Good,66,5.38,7
8.2,10,74.0,6.0,Excellent,94,0.0,10
8.7,9,143.0,7.0,Good,92,0.56,10
5.8,6,480.0,9.0,Neutral,55,13.23,7
8.4,9,453.0,57.0,Good,90,3.26,10
7.6,10,98.0,7.0,Good,97,0.0,10
8.2,9,220.0,51.0,Excellent,84,3.89,10
9.8,6,151.0,53.0,Neutral,64,7.22,8
6.6,7,29.0,141.0,Good,80,7.72,8
5.9,6,379.0,59.0,Good,54,11.1,7
5.7,4,37.0,240.0,Bad,40,15.06,6
5.8,7,243.0,2.0,Neutral,71,7.44,8
6.9,8,249.0,73.0,Excellent,87,5.22,10
7.5,9,82.0,2.0,Excellent,78,7.41,9
7.4,8,145.0,78.0,Good,83,4.9,9
8.2,10,189.0,29.0,Excellent,93,1.74,10
7.0,8,273.0,57.0,Neutral,78,6.76,9
9.2,7,220.0,22.0,Neutral,73,6.35,8
6.6,9,364.0,10.0,Excellent,87,4.23,10
10.0,7,77.0,77.0,Good,75,8.84,9
7.9,9,219.0,141.0,Excellent,80,5.31,10
5.7,7,66.0,12.0,Good,66,13.46,7
5.4,5,283.0,152.0,Bad,52,9.31,8
7.7,9,201.0,9.0,Excellent,74,6.45,9
6.7,8,202.0,80.0,Good,77,7.13,9
8.1,8,90.0,192.0,Good,74,8.22,9
7.7,10,354.0,10.0,Excellent,100,0.0,10
6.9,9,151.0,34.0,Excellent,84,6.44,10
5.7,7,36.0,25.0,Neutral,76,8.3,8
4.7,5,43.0,30.0,Bad,44,12.62,6
6.3,8,165.0,84.0,Good,69,7.63,9
8.3,9,168.0,65.0,Excellent,83,3.76,9
7.3,6,600.0,208.0,Good,62,5.73,7
5.1,6,448.0,12.0,Good,60,11.18,8
7.3,9,173.0,47.0,Good,87,3.19,10
7.6,9,272.0,36.0,Good,88,4.91,10
5.7,5,54.0,151.0,Bad,68,7.53,6
7.2,8,446.0,1.0,Good,70,8.12,8
7.1,6,255.0,240.0,Neutral,62,10.56,7
5.3,7,145.0,39.0,Neutral,66,10.54,9
7.5,9,113.0,59.0,Excellent,78,4.68,9
7.8,10,13.0,27.0,Excellent,90,3.02,9
8.6,8,180.0,115.0,Neutral,82,2.65,9
8.6,9,84.0,50.0,Good,75,7.24,9
4.9,5,296.0,65.0,Bad,60,9.31,8
5.6,7,266.0,63.0,Neutral,76,5.94,9
7.8,9,157.0,27.0,Excellent,89,3.54,10
7.8,10,330.0,5.0,Excellent,82,5.14,10
7.8,7,600.0,99.0,Neutral,71,8.12,8
10.0,7,193.0,21.0,Good,78,1.73,10
7.9,9,156.0,113.0,Excellent,85,5.01,9
8.7,8,182.0,56.0,Good,74,3.91,9
8.4,10,70.0,26.0,Excellent,93,1.35,10
8.0,9,233.0,54.0,Excellent,86,0.85,10
6.5,8,218.0,62.0,Good,83,6.66,10
8.1,9,243.0,74.0,Excellent,85,3.87,10
5.8,7,198.0,104.0,Neutral,80,5.34,9
6.6,9,323.0,10.0,Good,77,4.6,10
6.3,6,291.0,173.0,Neutral,67,9.07,8
7.1,9,325.0,32.0,Excellent,84,2.02,10
10.0,7,87.0,118.0,Good,73,5.68,7
4.2,5,595.0,15.0,Very Bad,48,12.09,6
8.0,10,311.0,2.0,Good,93,0.47,10
4.6,6,228.0,51.0,Neutral,66,9.82,9
6.3,7,501.0,24.0,Neutral,60,10.69,7
8.6,5,600.0,240.0,Neutral,55,14.06,5
7.1,9,295.0,7.0,Excellent,85,6.03,10
5.4,7,70.0,3.0,Neutral,76,7.78,9
5.9,7,132.0,3.0,Neutral,63,6.55,8
8.0,10,153.0,15.0,Excellent,98,2.14,10
5.9,6,330.0,52.0,Good,56,11.01,7
7.3,9,309.0,42.0,Excellent,81,5.88,10
7.1,9,274.0,26.0,Good,77,4.76,10
6.0,8,137.0,6.0,Good,86,4.73,10
10.0,8,257.0,16.0,Good,87,2.55,9
8.0,9,459.0,12.0,Good,87,4.28,10
4.0,5,149.0,82.0,Bad,49,11.54,6
7.3,8,20.0,91.0,Good,83,4.26,9
6.0,6,146.0,90.0,Neutral,55,8.54,7
8.3,7,179.0,209.0,Neutral,74,2.36,8
5.8,6,230.0,129.0,Neutral,56,9.73,8
6.8,8,333.0,41.0,Good,86,1.9,10
7.8,10,41.0,32.0,Good,79,7.05,9
8.3,9,96.0,148.0,Good,86,4.33,9
5.2,5,49.0,57.0,Neutral,45,12.35,5
6.5,8,381.0,21.0,Excellent,78,1.4,9
6.3,7,339.0,50.0,Neutral,75,6.58,8
6.0,5,195.0,240.0,Neutral,61,9.11,7
9.6,7,108.0,114.0,Neutral,68,6.97,8
7.6,8,600.0,20.0,Good,73,6.04,8
5.1,4,122.0,183.0,Bad,44,13.85,6
8.4,7,289.0,239.0,Neutral,79,1.46,9
10.0,7,84.0,16.0,Neutral,84,2.05,9
8.5,6,600.0,136.0,Neutral,50,9.78,6
4.7,5,426.0,129.0,Neutral,55,10.85,8
6.3,9,221.0,2.0,Excellent,74,2.97,9
8.9,8,192.0,66.0,Good,72,7.56,9
5.9,6,76.0,22.0,Neutral,71,5.39,8
7.7,9,213.0,67.0,Excellent,82,1.33,10
8.2,8,171.0,147.0,Neutral,76,5.87,9
5.6,7,213.0,41.0,Neutral,82,5.2,10
6.9,8,399.0,32.0,Neutral,79,7.58,9
2.1,1,490.0,153.0,Very Bad,27,20.44,3
5.5,4,65.0,219.0,Bad,44,12.27,6
6.6,8,173.0,4.0,Good,82,5.76,10
5.1,5,174.0,154.0,Neutral,58,15.61,8
9.4,8,138.0,5.0,Good,81,0.58,9
4.9,6,134.0,25.0,Neutral,61,8.83,7
6.3,7,59.0,86.0,Good,65,4.96,8
7.2,8,291.0,90.0,Good,66,10.42,10
9.2,7,124.0,78.0,Neutral,74,6.7,9
4.8,6,161.0,2.0,Neutral,56,13.57,7
8.7,10,156.0,9.0,Excellent,87,2.17,10
7.0,7,36.0,165.0,Good,63,10.09,8
5.5,8,108.0,5.0,Good,78,3.81,9
7.7,9,394.0,5.0,Excellent,83,1.68,10
7.3,7,471.0,108.0,Neutral,69,7.73,8
6.1,7,248.0,62.0,Good,76,6.69,9
7.1,8,21.0,26.0,Good,75,5.94,8
6.4,8,461.0,11.0,Neutral,78,7.34,8
7.2,8,67.0,129.0,Excellent,71,4.28,9
8.0,7,63.0,240.0,Neutral,67,12.19,8
9.4,9,316.0,3.0,Excellent,79,3.74,10
5.1,6,237.0,48.0,Bad,65,14.05,8
10.0,8,374.0,18.0,Neutral,86,4.98,10
4.1,3,533.0,107.0,Very Bad,39,18.35,6
6.8,9,245.0,25.0,Excellent,87,4.49,10
7.9,9,431.0,75.0,Excellent,98,1.24,10
7.4,9,66.0,47.0,Excellent,83,2.47,10
6.1,7,208.0,47.0,Excellent,68,6.76,8
6.7,7,403.0,117.0,Neutral,63,7.9,9
6.3,7,111.0,38.0,Good,70,8.46,8
6.1,6,298.0,112.0,Neutral,60,8.65,8
8.3,9,417.0,27.0,Good,83,2.53,9
7.5,9,180.0,12.0,Excellent,87,2.55,10
6.0,7,173.0,36.0,Good,63,5.75,8
8.3,9,326.0,41.0,Excellent,92,0.19,10
7.5,9,26.0,39.0,Good,90,1.36,9
8.2,9,128.0,99.0,Excellent,88,3.61,10
7.9,9,21.0,50.0,Neutral,87,5.84,9
5.8,7,211.0,132.0,Neutral,67,7.47,8
6.2,7,282.0,43.0,Neutral,65,5.36,8
8.1,10,133.0,15.0,Excellent,99,2.76,10
7.9,9,171.0,8.0,Good,78,8.22,10
7.0,7,94.0,122.0,Neutral,69,7.27,8
7.2,8,108.0,3.0,Good,79,6.16,9
8.9,9,330.0,8.0,Good,82,5.97,10
6.1,7,156.0,4.0,Good,70,7.86,8
7.8,9,157.0,33.0,Excellent,94,3.27,9
6.7,8,205.0,46.0,Excellent,81,2.24,10
6.7,7,600.0,1.0,Neutral,60,9.37,7
8.6,9,290.0,43.0,Good,93,2.88,10
8.2,10,153.0,30.0,Good,94,0.0,10
8.2,8,283.0,89.0,Neutral,82,7.24,9
9.0,8,219.0,106.0,Good,83,4.99,10
7.0,8,148.0,69.0,Excellent,77,3.67,9
8.0,10,10.0,38.0,Excellent,78,7.07,8
6.5,9,284.0,15.0,Good,86,5.32,10
7.5,8,369.0,113.0,Excellent,80,5.24,10
6.8,8,27.0,25.0,Excellent,74,5.46,9
7.1,8,244.0,26.0,Good,74,10.1,9
7.9,8,450.0,149.0,Excellent,88,5.69,10
5.8,5,77.0,223.0,Neutral,46,17.09,6
10.0,6,164.0,137.0,Neutral,53,13.86,7
5.5,5,178.0,240.0,Bad,45,13.11,6
5.2,6,413.0,122.0,Bad,64,12.1,8
8.7,9,93.0,73.0,Good,90,3.28,10
8.2,10,378.0,21.0,Excellent,90,1.06,10
7.9,8,501.0,183.0,Good,79,6.2,8
7.9,9,267.0,126.0,Good,87,0.22,10
7.0,9,131.0,17.0,Excellent,82,5.69,9
5.7,7,41.0,40.0,Neutral,64,12.72,7
7.1,9,155.0,4.0,Good,92,2.75,10
6.0,6,110.0,184.0,Neutral,67,9.52,8
8.5,9,53.0,51.0,Good,79,3.57,10
6.8,9,339.0,17.0,Excellent,94,0.0,10
5.8,6,128.0,21.0,Bad,56,6.54,8
6.5,6,265.0,237.0,Bad,70,5.16,7
7.6,8,57.0,57.0,Neutral,82,4.03,10
6.2,7,143.0,33.0,Neutral,65,6.25,8
5.8,6,471.0,42.0,Good,62,13.87,7
7.4,9,126.0,6.0,Excellent,80,4.97,10
7.4,9,130.0,5.0,Excellent,84,3.14,10
6.2,8,192.0,54.0,Good,82,3.9,10
6.3,8,79.0,43.0,Good,78,5.85,9
7.3,10,249.0,27.0,Excellent,89,4.21,10
4.8,6,348.0,50.0,Neutral,57,8.13,8
4.9,6,228.0,5.0,Good,56,6.37,7
5.9,7,89.0,173.0,Neutral,67,7.11,8
6.7,8,141.0,21.0,Excellent,84,3.42,10
7.5,9,262.0,4.0,Good,87,3.47,10
9.2,9,329.0,11.0,Excellent,90,1.48,10
8.3,10,437.0,6.0,Excellent,99,0.92,10
6.8,9,94.0,12.0,Good,77,3.91,9
7.0,9,394.0,32.0,Good,80,2.35,10
5.5,6,314.0,80.0,Neutral,61,9.93,8
7.0,9,339.0,19.0,Good,85,1.9,10
6.6,8,268.0,34.0,Good,77,6.95,9
7.5,8,74.0,158.0,Good,72,8.89,9
5.8,7,181.0,21.0,Good,70,8.56,8
7.8,9,27.0,95.0,Good,68,7.11,8
9.3,9,210.0,10.0,Excellent,85,4.13,10
6.8,9,133.0,12.0,Excellent,87,3.69,10
7.6,9,3.0,37.0,Excellent,78,4.03,9
8.0,10,79.0,16.0,Excellent,85,0.93,10
6.4,5,600.0,140.0,Bad,61,12.06,6
7.3,9,84.0,3.0,Good,78,8.88,9
7.0,8,74.0,55.0,Good,65,9.8,8
7.1,9,376.0,56.0,Good,96,0.0,10
5.8,7,99.0,4.0,Neutral,70,8.77,8
7.0,8,120.0,79.0,Good,83,3.91,10
7.7,10,271.0,38.0,Good,99,3.08,10
9.2,8,170.0,77.0,Good,78,5.22,9
8.4,9,172.0,105.0,Good,82,4.53,10
10.0,7,80.0,23.0,Neutral,64,8.3,8
5.8,7,322.0,40.0,Good,66,6.59,7
8.3,9,256.0,18.0,Excellent,86,2.95,10
7.3,9,83.0,14.0,Excellent,82,4.06,10
10.0,8,176.0,0.0,Good,81,0.15,9
5.8,6,297.0,199.0,Neutral,61,11.71,8
5.7,7,103.0,35.0,Neutral,55,12.56,7
6.1,8,190.0,1.0,Good,80,8.03,10
3.8,5,24.0,1.0,Bad,37,16.38,6
6.2,7,289.0,20.0,Neutral,79,6.52,10
5.9,7,99.0,1.0,Good,74,3.83,8
7.2,8,195.0,28.0,Excellent,71,6.94,8
7.5,10,314.0,4.0,Excellent,91,5.19,10
9.8,8,231.0,2.0,Good,81,3.88,10
8.4,8,71.0,66.0,Good,74,5.32,7
6.1,6,122.0,142.0,Neutral,70,8.01,8
5.7,7,242.0,32.0,Neutral,71,9.46,8
7.7,8,18.0,109.0,Excellent,74,7.18,9
5.0,7,226.0,2.0,Neutral,63,8.34,7
9.7,8,76.0,90.0,Excellent,71,7.1,8
8.8,8,261.0,4.0,Good,78,9.35,10
6.3,8,218.0,109.0,Good,74,4.6,9
4.4,4,337.0,128.0,Bad,58,10.63,7
9.0,8,305.0,92.0,Excellent,67,7.11,9
6.8,8,308.0,103.0,Good,81,7.82,9
8.9,8,183.0,49.0,Good,74,5.17,8
4.6,6,172.0,18.0,Neutral,61,8.4,8
6.1,6,338.0,62.0,Neutral,58,11.07,8
7.0,8,168.0,35.0,Good,81,6.62,10
7.1,9,101.0,0.0,Excellent,87,4.54,10
6.3,7,152.0,39.0,Good,76,3.73,9
7.9,9,176.0,63.0,Good,87,4.44,10
5.4,6,97.0,1.0,Neutral,56,11.53,7
6.8,8,146.0,58.0,Excellent,83,7.06,10
7.2,9,93.0,63.0,Excellent,84,3.7,10
7.8,10,148.0,10.0,Excellent,87,1.36,10
8.1,10,94.0,34.0,Excellent,96,0.0,10
5.3,4,95.0,200.0,Bad,46,17.15,5
4.7,4,65.0,129.0,Bad,43,18.17,5
8.9,8,392.0,32.0,Good,73,4.96,9
7.5,9,229.0,26.0,Good,87,2.23,10
5.9,7,320.0,8.0,Neutral,74,5.34,9
9.3,8,46.0,2.0,Neutral,88,4.87,10
7.2,8,484.0,21.0,Excellent,81,3.76,9
8.8,7,87.0,169.0,Neutral,73,6.76,9
7.1,7,94.0,191.0,Good,72,7.6,8
10.0,6,498.0,100.0,Bad,70,6.19,8
9.6,7,133.0,26.0,Neutral,66,9.89,7
6.6,8,151.0,9.0,Good,77,7.85,10
8.5,9,25.0,54.0,Excellent,80,9.53,9
8.0,9,172.0,62.0,Excellent,93,2.54,10
9.1,8,76.0,33.0,Good,84,0.96,9
5.6,7,271.0,71.0,Neutral,72,5.61,10
8.0,10,247.0,82.0,Excellent,82,2.12,10
8.6,8,188.0,92.0,Good,81,5.29,10
4.4,5,231.0,42.0,Bad,54,12.75,8
5.2,6,161.0,94.0,Neutral,70,7.94,8
3.9,5,157.0,2.0,Bad,56,11.6,7
6.6,8,69.0,68.0,Good,93,3.32,9
8.1,9,291.0,16.0,Excellent,75,5.89,10
9.3,7,523.0,19.0,Good,65,9.11,7
7.1,9,147.0,6.0,Good,82,0.0,10
9.4,8,201.0,13.0,Good,74,8.05,8
4.9,4,324.0,240.0,Very Bad,49,14.85,6
4.4,5,427.0,32.0,Bad,51,12.69,7
6.9,8,414.0,158.0,Excellent,80,9.47,9
7.6,10,31.0,11.0,Excellent,81,4.81,10
7.0,10,30.0,14.0,Excellent,93,0.0,10
3.9,4,438.0,49.0,Bad,51,13.9,7
6.9,8,231.0,26.0,Good,82,4.7,10
5.0,6,414.0,62.0,Neutral,65,7.5,8
8.0,10,230.0,33.0,Excellent,86,7.52,10
7.5,8,210.0,100.0,Good,84,3.01,10
5.6,6,8.0,34.0,Neutral,68,11.12,7
6.2,6,592.0,51.0,Neutral,47,10.98,6
5.4,6,203.0,23.0,Neutral,56,9.84,6
6.9,7,261.0,73.0,Neutral,65,6.53,8
8.4,9,281.0,64.0,Excellent,78,3.77,10
5.5,6,143.0,30.0,Neutral,53,11.21,7
7.8,10,112.0,19.0,Excellent,89,3.29,10
6.2,7,292.0,57.0,Good,73,5.85,9
5.8,6,354.0,172.0,Good,70,10.42,9
6.8,9,312.0,9.0,Good,82,4.34,10
5.4,6,125.0,96.0,Neutral,61,8.37,7
6.2,7,169.0,47.0,Good,75,5.33,9
5.2,6,252.0,45.0,Bad,74,9.5,8
9.9,5,114.0,196.0,Bad,49,9.48,7
7.1,7,339.0,56.0,Neutral,85,6.99,10
6.0,7,295.0,107.0,Good,66,11.94,9
7.3,9,172.0,43.0,Good,88,0.29,10
6.8,8,453.0,17.0,Neutral,83,4.22,8
6.7,7,148.0,71.0,Good,62,11.51,8
7.9,9,233.0,154.0,Neutral,90,1.63,10
8.1,8,227.0,110.0,Good,67,7.43,9
6.2,8,250.0,13.0,Excellent,79,5.14,10
6.1,8,296.0,23.0,Neutral,74,8.45,10
6.6,7,240.0,44.0,Good,75,7.12,9
3.5,3,417.0,51.0,Bad,43,13.54,5
4.7,6,335.0,13.0,Neutral,62,14.05,8
9.1,9,58.0,16.0,Good,86,2.72,9
9.5,7,504.0,85.0,Good,65,7.64,7
6.6,8,127.0,79.0,Good,81,3.42,10
7.9,9,149.0,110.0,Excellent,74,4.58,9
7.5,9,475.0,162.0,Good,88,0.08,10
10.0,8,144.0,22.0,Good,77,3.86,9
8.7,8,108.0,118.0,Good,69,6.43,8
6.8,8,110.0,66.0,Good,80,7.1,8
5.6,5,56.0,190.0,Neutral,52,13.66,6
4.6,5,362.0,19.0,Bad,62,12.22,7
7.3,10,130.0,19.0,Excellent,96,1.68,10
5.9,6,24.0,73.0,Good,59,13.0,6
4.9,4,135.0,158.0,Bad,44,14.02,6
6.0,6,600.0,104.0,Neutral,60,12.68,7
5.4,7,247.0,78.0,Neutral,70,8.46,9
9.5,8,341.0,29.0,Neutral,86,5.37,10
8.3,9,353.0,76.0,Good,87,4.18,10
7.0,8,42.0,97.0,Good,65,7.95,8
9.2,8,295.0,84.0,Good,78,4.34,10
7.1,8,102.0,68.0,Neutral,83,4.74,9
5.7,7,158.0,3.0,Good,78,5.87,10
9.3,8,107.0,65.0,Good,77,7.74,9
7.8,10,57.0,39.0,Excellent,94,0.0,9
5.4,5,194.0,196.0,Bad,54,15.22,7
6.7,6,600.0,56.0,Neutral,64,7.38,7
5.7,7,305.0,56.0,Good,75,7.46,9
4.9,5,242.0,240.0,Bad,65,6.87,7
8.4,9,43.0,6.0,Excellent,87,0.0,9
9.9,7,48.0,19.0,Good,74,4.44,8
4.9,6,103.0,64.0,Neutral,58,9.31,8
7.8,10,129.0,23.0,Excellent,91,0.0,10
6.0,7,133.0,25.0,Neutral,58,14.18,7
6.3,7,122.0,134.0,Good,66,8.06,7
6.1,7,36.0,52.0,Neutral,71,2.07,8
5.7,7,200.0,7.0,Good,72,7.54,8
7.1,8,600.0,22.0,Good,74,7.57,7
5.8,7,104.0,5.0,Good,71,9.08,8
7.4,8,146.0,49.0,Neutral,77,8.39,10
6.9,9,367.0,11.0,Excellent,82,1.69,9
6.6,6,487.0,117.0,Bad,58,13.07,7
5.6,7,110.0,52.0,Good,65,9.17,7
6.1,8,157.0,4.0,Good,75,5.96,9
8.1,10,211.0,21.0,Excellent,90,1.65,10
7.8,9,233.0,57.0,Excellent,90,0.42,10
5.5,6,99.0,25.0,Neutral,58,8.21,7
7.1,9,212.0,43.0,Good,89,0.68,10
8.1,8,328.0,144.0,Good,82,4.94,9
4.5,5,135.0,26.0,Neutral,56,10.74,7
7.8,9,304.0,25.0,Good,82,2.63,10
6.0,7,228.0,103.0,Bad,77,7.34,9
7.9,10,47.0,23.0,Excellent,90,0.0,10
5.9,7,220.0,5.0,Neutral,76,5.07,10
4.3,5,180.0,12.0,Neutral,59,13.53,7
4.6,5,21.0,178.0,Neutral,46,11.46,4
7.1,7,52.0,162.0,Good,66,12.53,7
7.4,9,219.0,15.0,Good,83,7.92,10
